Date,DJI,^FTSE,^GSPC,^N225
2017-01-31,19864.099609,7099.200195,2278.8701170000004,19041.339844
2017-02-01,19890.900391,7107.700195,2279.550049,19148.080078
2017-02-02,19884.900391,7140.799805,2280.850098,18914.580078
2017-02-03,20071.5,7188.299805,2297.419922,18918.199219
2017-02-06,20052.400391,7172.200195,2292.560059,18976.710938
2017-02-07,20090.300781,7186.200195,2293.080078,18910.779297
2017-02-08,20054.300781,7188.799805,2294.669922,19007.599609
2017-02-09,20172.400391,7229.5,2307.8701170000004,18907.669922
2017-02-10,20269.400391,7258.799805,2316.100098,19378.929688
2017-02-13,20412.199219,7278.899901999999,2328.25,19459.150391
2017-02-14,20504.400391,7268.600098000001,2337.580078,19238.980469
2017-02-15,20611.900391,7302.399901999999,2349.25,19437.980469
2017-02-16,20619.800781,7277.899901999999,2347.219971,19347.529297
2017-02-17,20624.099609,7300.0,2351.159912,19234.619141
2017-02-20,20624.099609,7299.899901999999,2351.159912,19251.080078
2017-02-21,20743.0,7274.799805,2365.3798829999996,19381.439453
2017-02-22,20775.599609,7302.299805,2362.820068,19379.869141
2017-02-23,20810.300781,7271.399901999999,2363.810059,19371.460938
2017-02-24,20821.800781,7243.700195,2367.340088,19283.539063
2017-02-27,20837.400391,7253.0,2369.75,19107.470703
2017-02-28,20812.199219,7263.399901999999,2363.639893,19118.990234
2017-03-01,21115.599609,7382.899901999999,2395.959961,19393.539063
2017-03-02,21003.0,7382.399901999999,2381.919922,19564.800781
2017-03-03,21005.699219,7374.299805,2383.1201170000004,19469.169922
2017-03-06,20954.300781,7350.100098000001,2375.310059,19379.140625
2017-03-07,20924.800781,7339.0,2368.389893,19344.150391
2017-03-08,20855.699219,7334.600098000001,2362.97998,19254.029297
2017-03-09,20858.199219,7315.0,2364.8701170000004,19318.580078
2017-03-10,20903.0,7343.100098000001,2372.600098,19604.609375
2017-03-13,20881.5,7367.100098000001,2373.469971,19633.75
2017-03-14,20837.400391,7357.899901999999,2365.449951,19609.5
2017-03-15,20950.099609,7368.600098000001,2385.26001,19577.380859
2017-03-16,20934.599609,7416.0,2381.3798829999996,19590.140625
2017-03-17,20914.599609,7425.0,2378.25,19521.589844
2017-03-20,20905.900391,7429.799805,2373.469971,19521.589844
2017-03-21,20668.0,7378.299805,2344.02002,19455.880859
2017-03-22,20661.300781,7324.700195,2348.449951,19041.380859
2017-03-23,20656.599609,7340.700195,2345.959961,19085.310547
2017-03-24,20596.699219,7336.799805,2343.97998,19262.529297
2017-03-27,20551.0,7293.5,2341.590088,18985.589844
2017-03-28,20701.5,7343.399901999999,2358.570068,19202.869141
2017-03-29,20659.300781,7373.700195,2361.1298829999996,19217.480469
2017-03-30,20728.5,7369.5,2368.060059,19063.220703
2017-03-31,20663.199219,7322.899901999999,2362.719971,18909.259766
2017-04-03,20650.199219,7282.700195,2358.840088,18983.230469
2017-04-04,20689.199219,7321.799805,2360.159912,18810.25
2017-04-05,20648.199219,7331.700195,2352.949951,18861.269531
2017-04-06,20662.900391,7303.200195,2357.48999,18597.060547
2017-04-07,20656.099609,7349.399901999999,2355.540039,18664.630859
2017-04-10,20658.0,7348.899901999999,2357.159912,18797.880859
2017-04-11,20651.300781,7365.5,2353.780029,18747.869141
2017-04-12,20591.900391,7349.0,2344.929932,18552.609375
2017-04-13,20453.199219,7327.600098000001,2328.949951,18426.839844
2017-04-14,20453.199219,7327.600098000001,2328.949951,18335.630859
2017-04-17,20636.900391,7327.600098000001,2349.01001,18355.259766
2017-04-18,20523.300781,7147.5,2342.189941,18418.589844
2017-04-19,20404.5,7114.399901999999,2338.169922,18432.199219
2017-04-20,20578.699219,7118.5,2355.840088,18430.490234
2017-04-21,20547.800781,7114.600098000001,2348.689941,18620.75
2017-04-24,20763.900391,7264.700195,2374.149902,18875.880859
2017-04-25,20996.099609,7275.600098000001,2388.610107,19079.330078
2017-04-26,20975.099609,7288.700195,2387.449951,19289.429688
2017-04-27,20981.300781,7237.200195,2388.77002,19251.869141
2017-04-28,20940.5,7203.899901999999,2384.199951,19196.740234
2017-05-01,20913.5,7203.899901999999,2388.330078,19310.519531
2017-05-02,20949.900391,7250.100098000001,2391.169922,19445.699219
2017-05-03,20957.900391,7234.5,2388.1298829999996,19445.699219
2017-05-04,20951.5,7248.100098000001,2389.52002,19445.699219
2017-05-05,21006.900391,7297.399901999999,2399.290039,19445.699219
2017-05-08,21012.300781,7300.899901999999,2399.3798829999996,19895.699219
